mmyyyy;mm_yyyy;yyyy.mm;classificacao;fonte;rubrica;descricao;valores_mes;valores_ano;valores_orcados;num_caract_classif;raiz;;;;
012012;01.2012;2012-01-01;1321010101;1;1066;JUROS BANC OP FINANCEIRAS RECURSOS PROPRIOS;2965407.99;2965407.99;34074000;10;;;;;
012012;01.2012;2012-01-01;1321010200;;;JUROS BANC OP FINANCEIRAS VINCULADAS;940214.68;940214.68;12754000;10;;;;;
012012;01.2012;2012-01-01;1321010201;5;1030;JUROS BANC OP FINANCEIRAS SUS GESTAO PLENA;79239.45;79239.45;1375000;10;;;;;
012012;01.2012;2012-01-01;1321010202;5;1279;JUROS BANC OP FINANCEIRAS FAEC FDO ACOES ESTRATEGICAS;0;0;0;10;;;;;
012012;01.2012;2012-01-01;1321010203;5;1449;JUROS BANC OP FINANCEIRAS PABA PISO ATENCAO BASICA AMPLIADA;63543.34;63543.34;991000;10;;;;;
012012;01.2012;2012-01-01;1321010204;5;1503;JUROS BANC OP FINANCEIRAS TETO FINANCEIRO EPIDEMIOLOGIA TFVS;0;0;0;10;;;;;
012012;01.2012;2012-01-01;1321010205;5;1511;JUROS BANC OP FINANCEIRAS AIDS DST;6033.39;6033.39;82000;10;;;;;
012012;01.2012;2012-01-01;1321010206;1;1890;JUROS BANC OP FINANCEIRAS FUNDO MUNICIPAL DE SAUDE;92280.8;92280.8;1401000;10;;;;;
012012;01.2012;2012-01-01;1321010207;2;1780;JUROS BANC OP FINANCEIRAS SUS MUNICIPALIZACAO;10891.38;10891.38;164000;10;;;;;
012012;01.2012;2012-01-01;1321010208;5;1500;JUROS BANC OP FINANCEIRAS FNDE PNAE   PROG ALIM ESCOLAR ;17181.37;17181.37;131000;10;;;;;
012012;01.2012;2012-01-01;1321010209;5;1700;JUROS BANC OP FINANCEIRAS CONVENIOS FNDE;685.7;685.7;9000;10;;;;;
012012;01.2012;2012-01-01;1321010210;5;1750;JUROS BANC OP FINANCEIRAS QESE;89729.06;89729.06;1469000;10;;;;;
012012;01.2012;2012-01-01;1321010211;2;1740;JUROS BANC OP FINANCEIRAS SEADS;1945.55;1945.55;18000;10;;;;;
012012;01.2012;2012-01-01;1321010212;3;1101;JUROS BANC OP FINANCEIRAS FUNDO MUNICIPAL DE ASSISENCIA SOCIAL;11.65;11.65;1000;10;;;;;
012012;01.2012;2012-01-01;1321010213;2;1790;JUROS BANC OP FINANCEIRAS CDHU;0;0;116000;10;;;;;
012012;01.2012;2012-01-01;1321010214;3;1210;JUROS BANC OP FINANCEIRAS MULTAS DE TRANSITO;51179.84;51179.84;993000;10;;;;;
012012;01.2012;2012-01-01;1321010215;3;1820;JUROS BANC OP FINANCEIRAS ZONA AZUL E OUTROS;147127.08;147127.08;63000;10;;;;;
012012;01.2012;2012-01-01;1321010216;3;1134;JUROS BANC OP FINANCEIRAS FADENP;7370.71;7370.71;188000;10;;;;;
012012;01.2012;2012-01-01;1321010217;5;1730;JUROS BANC OP FINANCEIRAS FNAS;7955.51;7955.51;89000;10;;;;;
012012;01.2012;2012-01-01;1321010218;1;1546;JUROS BANC OP FINANCEIRAS SME;195736.8;195736.8;4097000;10;;;;;
012012;01.2012;2012-01-01;1321010219;5;1970;JUROS BANC OP FINANCEIRAS FNSP;0;0;0;10;;;;;
012012;01.2012;2012-01-01;1321010220;2;1450;JUROS BANC OP FINANCEIRAS FEHIDRO;1133.16;1133.16;21000;10;;;;;
012012;01.2012;2012-01-01;1321010221;2;1221;JUROS BANC OP FINANCEIRAS FORUM;30884.09;30884.09;278000;10;;;;;
012012;01.2012;2012-01-01;1321010222;2;1912;JUROS BANC OP FINANCEIRAS FUNDEB;26124.28;26124.28;516000;10;;;;;
012012;01.2012;2012-01-01;1321010223;2;1123;JUROS BANC OP FINANCEIRAS CIDE;14305.17;14305.17;174000;10;;;;;
012012;01.2012;2012-01-01;1321010224;6;1135;JUROS BANC OP FINANCEIRAS MULTI FMS;0;0;1000;10;;;;;
012012;01.2012;2012-01-01;1321010225;2;1136;JUROS BANC OP FINANCEIRAS MERENDA ESCOLAR FUNDESP;0;0;0;10;;;;;
012012;01.2012;2012-01-01;1321010226;2;1137;JUROS BANC OP FINANCEIRAS TRANSP ESCOLAR ZONA RURAL;7775.63;7775.63;62000;10;;;;;
012012;01.2012;2012-01-01;1321010227;5;1074;JUROS BANC OP FINANCEIRAS FNS;42233.24;42233.24;513000;10;;;;;
012012;01.2012;2012-01-01;1321010228;7;1914;JUROS BANC OP FINANCEIRAS S O;2233.93;2233.93;0;10;;;;;
012012;01.2012;2012-01-01;1321010229;5;1720;JUROS BANC OP FINANCEIRAS OUTROS CONVENIOS EDUCACAO;0;0;0;10;;;;;
012012;01.2012;2012-01-01;1321010230;2;1860;JUROS BANC OP FINANCEIRAS INCRA;0;0;0;10;;;;;
012012;01.2012;2012-01-01;1321010231;5;1916;JUROS BANC OP FINANCEIRAS S H ;60.8;60.8;1000;10;;;;;
012012;01.2012;2012-01-01;1321010232;2;1915;JUROS BANC OP FINANCEIRAS SCTDE;20190.62;20190.62;0;10;;;;;
012012;01.2012;2012-01-01;1321010233;2;1131;JUROS BANC OP FINANCEIRAS JORI;123.56;123.56;1000;10;;;;;
012012;01.2012;2012-01-01;1321010234;7;1870;JUROS BANC OP FINANCEIRAS BID;24238.57;24238.57;0;10;;;;;
012012;01.2012;2012-01-01;1322000000;1;1058;DIVIDENDOS;0;0;232000;10;;;;;
012012;01.2012;2012-01-01;1700000000;;;TRANSFERENCIAS CORRENTES;133840602.7;133840602.7;1205011000;10;1000000000;;;;
012012;01.2012;2012-01-01;1720000000;;;TRANSFERENCIAS INTERGOVERNAMENTAIS;133686200.8;133686200.8;1194404000;10;;;;;
012012;01.2012;2012-01-01;1721000000;;;TRANSFERENCIAS DA UNIAO;13495585.13;13495585.13;179680000;10;;;;;
012012;01.2012;2012-01-01;1721010000;;;PARTICIPACAO NA RECEITA DA UNIAO;3907112.59;3907112.59;52000000;10;;;;;
012012;01.2012;2012-01-01;1721010200;1;1163;COTA PARTE FUNDO DE PARTICIPACAO DOS MUNICIPIOS FPM;3903400.6;3903400.6;51800000;10;;;;;
012012;01.2012;2012-01-01;1721010500;1;1198;COTA PARTE IMPOSTO SOBRE A PROPRIEDADE TERRITORIAL RURAL ITR;3711.99;3711.99;200000;10;;;;;
012012;01.2012;2012-01-01;1721330000;;;TRANSFERENCIAS DE RECURSOS DO SISTEMA DE SAUDE SUS;7390700.76;7390700.76;95772000;10;;;;;
012012;01.2012;2012-01-01;1721330100;5;1406;SUS GESTAO PLENA SIH;6234551.82;6234551.82;78500000;10;;;;;
012012;01.2012;2012-01-01;1721330200;5;1420;SUS PABA PISO BASICO AMPLIADA;1075768.5;1075768.5;12067000;10;;;;;
012012;01.2012;2012-01-01;1721330300;5;1350;SUS EPIDEMOLOGIA E CONTROLE DE DOEN CAS TFVS;77380.44;77380.44;1237000;10;;;;;
012012;01.2012;2012-01-01;1721330400;5;1341;AIDS DST;0;0;512000;10;;;;;
012012;01.2012;2012-01-01;1721330500;5;2790;SUS FAEC ACOES ESTRATEGICAS;0;0;0;10;;;;;
012012;01.2012;2012-01-01;1721330600;5;1368;VIGILANCIA SANITARIA MEDIA E ALTA COMPLEXIDADE VISA;0;0;0;10;;;;;
012012;01.2012;2012-01-01;1721330700;5;1376;SUS AQUISICAO DE MEDICAMENTOS;0;0;3285000;10;;;;;
012012;01.2012;2012-01-01;1721330800;5;1377;GESTAO SUS INCENTIVOS DE QUALIFICACAO DOS CAPS E PROGRAMA DE ALIMENTACAO E NUTRICAO;3000;3000;171000;10;;;;;
012012;01.2012;2012-01-01;1721340000;;;TRANSF DE RECURSOS DO FUNDO NACIONAL DE ASSISTENCIA SOCIAL FNAS;190355.84;190355.84;1863000;10;;;;;
012012;01.2012;2012-01-01;1721340100;5;2180;FUNDO NACIONAL DE ASSISTENCIA SOCIAL;190355.84;190355.84;1863000;10;;;;;
012012;01.2012;2012-01-01;1721350000;;;TRANSFERENCIA DE RECURSOS DO FUNDO NACIONAL DE DESENVOLVIMENTO DA EDUCACAO FNDE;1694851.71;1694851.71;25026000;10;;;;;
012012;01.2012;2012-01-01;1721350100;5;1260;FNDE QUOTA MUNICIPAL QESE;1694851.71;1694851.71;20337000;10;;;;;
012012;01.2012;2012-01-01;1721350300;5;1295;FNDE PROGRAMA NACIONAL DE ALIMENTACAO ESCOLAR PNAE;0;0;3287000;10;;;;;
012012;01.2012;2012-01-01;1721350400;5;2740;FNDE PROGRAMA NACIONAL DE APOIO AO TRANSPORTE ESCOLAR PNATE;0;0;422000;10;;;;;
012012;01.2012;2012-01-01;1721359900;;;OUTRAS TRANSFERENCIAS DIRETAS DO FUNDO NACIONAL DO DESENVOLVIMENTO DA EDUCACAO FNDE;0;0;980000;10;;;;;
012012;01.2012;2012-01-01;1721359901;5;2300;OUTROS RECURSOS FUNDO NACIONAL DESENVOLVIMENTO EDUCACAO FNDE;0;0;60000;10;;;;;
012012;01.2012;2012-01-01;1721359902;5;2730;FNDE PROGRAMA NACIONAL DE ALIMENTACAO ESCOLAR EM CRECHES PNAC;0;0;889000;10;;;;;
012012;01.2012;2012-01-01;1721359903;5;1333;FNDE EJA;0;0;0;10;;;;;
012012;01.2012;2012-01-01;1721359904;5;1457;FNDE EDUCACAO INFANTIL;0;0;5000;10;;;;;
012012;01.2012;2012-01-01;1721359905;5;1481;FNDE ENSINO FUNDAMENTAL;0;0;26000;10;;;;;
012012;01.2012;2012-01-01;1721360000;;;TRANSFERENCIA FINANCEIRA;312134.72;312134.72;4085000;10;;;;;
012012;01.2012;2012-01-01;1721360100;1;1490;TRANSFERENCIA FINANCEIRA DO ICMS DESONERACAO LC N 87 96 LEI KANDIR;312134.72;312134.72;4085000;10;;;;;
012012;01.2012;2012-01-01;1721990000;;;OUTRAS TRANSFERENCIAS DA UNIAO;429.51;429.51;934000;10;;;;;
012012;01.2012;2012-01-01;1721990101;1;2275;COTA PARTE IMPOSTO UNICO SOBRE MINERAIS PAIS CFM;429.51;429.51;12000;10;;;;;
012012;01.2012;2012-01-01;1721990102;5;1940;AUXILIO FINANCEIRO PARA FOMENTO EXPORTACOES FEX;0;0;922000;10;;;;;
012012;01.2012;2012-01-01;1721990103;1;2276;APOIO FINANCEIRO PERDAS DO FPM;0;0;0;10;;;;;
012012;01.2012;2012-01-01;1722000000;;;TRANSFERENCIAS DOS ESTADOS;99568013.42;99568013.42;841641000;10;;;;;
012012;01.2012;2012-01-01;1722010000;;;PARTICIPACAO NA RECEITA DOS ESTADOS;99568013.42;99568013.42;841641000;10;;;;;
012012;01.2012;2012-01-01;1722010100;1;1236;COTA PARTE ICMS;62645353.57;62645353.57;735651000;10;;;;;
012012;01.2012;2012-01-01;1722010200;1;1287;IMPOSTO SOBRE A PROPRIEDADE DE VEICULOS AUTOMOTORES IPVA;36733636.6;36733636.6;100314000;10;;;;;
012012;01.2012;2012-01-01;1722010400;1;1252;COTA PARTE IMPOSTO SOBRE PRODUTOS INDUSTRIALIZADOS IPI;189023.25;189023.25;5676000;10;;;;;
012012;01.2012;2012-01-01;1724000000;;;TRANSFERENCIAS MULTIGOVERNAMENTAIS;20622602.23;20622602.23;173083000;10;;;;;
012012;01.2012;2012-01-01;1724010000;2;1325;TRANSFERENCIAS DE RECURSOS FUNDEB;20622602.23;20622602.23;173029000;10;;;;;
012012;01.2012;2012-01-01;1724990000;;;OUTRAS TRANSFERENCIAS MULTIGOVERNAMENTAIS;0;0;54000;10;;;;;
012012;01.2012;2012-01-01;1724990100;6;1941;FMS FUNDHAS FUMDICAD;0;0;54000;10;;;;;
012012;01.2012;2012-01-01;1760000000;;;TRANSFERENCIAS DE CONVENIOS;154401.88;154401.88;10607000;10;;;;;
012012;01.2012;2012-01-01;1761000000;;;TRANSFERENCIAS CONVENIOS DA UNIAO E DE SUAS ENTIDADES;0;0;461000;10;;;;;
012012;01.2012;2012-01-01;1761990000;;;OUTRAS TRANSFERENCIAS DE CONVENIO DA UNIAO;0;0;461000;10;;;;;
012012;01.2012;2012-01-01;1761990100;5;1554;FUNDO NACIONAL DE SEGURAN CA PUBLICA SENASP;0;0;1000;10;;;;;
012012;01.2012;2012-01-01;1761990200;5;2340;ASSOCIA CAO PROGESTAO DAS ÁGUAS DO RIO PARAIBA DO SUL;0;0;0;10;;;;;
012012;01.2012;2012-01-01;1761990300;5;1597;CONVENIO FUNDO NACIONAL DE SAUDE SUS;0;0;0;10;;;;;
012012;01.2012;2012-01-01;1761990400;6;1555;COMPENSACAO AMBIENTAL PETROBRAS REVAP TCCA;0;0;460000;10;;;;;
012012;01.2012;2012-01-01;1761990500;5;2321;HABITAR BRASIL BID;0;0;0;10;;;;;
012012;01.2012;2012-01-01;1762000000;;;TRANSFERENCIAS DOS ESTADOS E DE SUAS ENTIDADES;154401.88;154401.88;10146000;10;;;;;
012012;01.2012;2012-01-01;1762010000;;;TRANSF DE CONVENIO DO ESTADO PARA O SISTEMA UNICO DE SAUDE SUS;76983.88;76983.88;1780000;10;;;;;
012012;01.2012;2012-01-01;1762010100;2;1414;SUS MUNICIPALIZACAO;76983.88;76983.88;1780000;10;;;;;
012012;01.2012;2012-01-01;1762020000;;;TRANSF DE CONVENIO DOS ESTADOS DESTINADOS A PROGRAMAS DE EDUCA CAO;0;0;6233000;10;;;;;
012012;01.2012;2012-01-01;1762020100;2;1317;MERENDA ESCOLAR FUNDESP;0;0;3000;10;;;;;
012012;01.2012;2012-01-01;1762020200;2;1460;PROGRAMA AUXILIO TRANSPORTE ESCOLAR ZONA RURAL DRE;0;0;6230000;10;;;;;
012012;01.2012;2012-01-01;1762020300;2;1760;COTA PARTE SALARIO EDUCA CAO ESTADUAL;0;0;0;10;;;;;
012012;01.2012;2012-01-01;1762990000;;;OUTRAS TRANSFERENCIAS DE CONVENIO DOS ESTADOS;77418;77418;2133000;10;;;;;
012012;01.2012;2012-01-01;1762990100;2;2310;CONVENIO SECRETARIA DE ESTADO DA ASSISTENCIA E DESENVOLVIMENTO SOCIAL SEADS;77418;77418;960000;10;;;;;
012012;01.2012;2012-01-01;1762990200;2;1392;FEHIDRO PLANEJAMENTO;0;0;461000;10;;;;;
012012;01.2012;2012-01-01;1762990300;2;2140;CONVENIO SECRETARIA DE ESTADO DA JUVENTUDE ESPORTE E LAZER JORI;0;0;127000;10;;;;;
012012;01.2012;2012-01-01;1762990400;2;2530;CONVENIO FEBEM;0;0;0;10;;;;;
012012;01.2012;2012-01-01;1762990500;2;1393;FEHIDRO MEIO AMBIENTE;0;0;0;10;;;;;
012012;01.2012;2012-01-01;1762990600;2;2247;CONVENIO COM A FUNDA CAO DE PROTECAO E DEFESA DO CONSUMIDOR;0;0;585000;10;;;;;
012012;01.2012;2012-01-01;1762990700;2;2249;CONVENIO FUNDO SOCIAL SOLIDARIEDADE DO ESTADO SAO PAULO;0;0;0;10;;;;;
012012;01.2012;2012-01-01;1900000000;;;OUTRAS RECEITAS CORRENTES;5764119.27;5764119.27;70143000;10;1000000000;;;;
012012;01.2012;2012-01-01;1910000000;;;MULTAS E JUROS DE MORA;1265735.41;1265735.41;21507000;10;;;;;
012012;01.2012;2012-01-01;1911000000;;;MULTAS E JUROS DE MORA DOS TRIBUTOS;97434.24;97434.24;6265000;10;;;;;
012012;01.2012;2012-01-01;1911380000;1;1620;MULTAS E JUROS DE MORA DO IMP S PROP TERR URBANA IPTU;84891.22;84891.22;4826000;10;;;;;
012012;01.2012;2012-01-01;1911390000;1;1650;MULTAS E JUROS DE MORA DO ITBI;0;0;6000;10;;;;;
012012;01.2012;2012-01-01;1911400000;1;1630;MULTAS E JUROS DE MORA DO IMP S SERVICOS ISS;9518.21;9518.21;633000;10;;;;;
012012;01.2012;2012-01-01;1911980000;1;1640;MULTAS E JUROS DE MORA DAS CONTR MELHORIAS;0;0;4000;10;;;;;
012012;01.2012;2012-01-01;1911990000;;;MULTAS E JUROS DE MORA DE OUTROS TRIBUTOS;3024.81;3024.81;796000;10;;;;;
012012;01.2012;2012-01-01;1911990100;1;1660;MULTAS E JUROS DE MORA DE TAXAS;3024.81;3024.81;796000;10;;;;;
012012;01.2012;2012-01-01;1913000000;;;MULTAS E JUROS DE MORA DA DIVIDA ATIVA DOS TRIBUTOS;221264.38;221264.38;3193000;10;;;;;
012012;01.2012;2012-01-01;1913110000;1;1670;MULTAS E JUROS DE MORA DA DIVIDA ATIVA DO IMP S PROP TERR URBANA IPTU;106260.83;106260.83;2305000;10;;;;;
012012;01.2012;2012-01-01;1913130000;1;1680;MULTAS E JUROS DE MORA DA DIVIDA ATIVA DO IMP S SERVICOS ISS;69461.1;69461.1;452000;10;;;;;
012012;01.2012;2012-01-01;1913990000;1;1690;MULTAS E JUROS DE MORA DA DIVIDA ATIVA DE OUTROS TRIBUTOS;45542.45;45542.45;436000;10;;;;;
012012;01.2012;2012-01-01;1919000000;;;MULTAS DE OUTRAS ORIGENS;947036.79;947036.79;12049000;10;;;;;
012012;01.2012;2012-01-01;1919150000;;;MULTAS PREVISTAS NA LEGISLA CAO DE TRÂNSITO;928748.1;928748.1;11457000;10;;;;;
012012;01.2012;2012-01-01;1919150100;3;2127;MULTAS PREVISTAS NA LEGISLACAO DE TRANSITO;906485.52;906485.52;11416000;10;;;;;
012012;01.2012;2012-01-01;1919150200;3;2750;MULTAS PREVISTAS NA LEGISLACAO DE TRANSITO PARCELAMENTO;22262.58;22262.58;41000;10;;;;;
012012;01.2012;2012-01-01;1919500000;;;MULTAS POR AUTO DE INFRA CAO;18288.69;18288.69;592000;10;;;;;
012012;01.2012;2012-01-01;1919500100;1;2011;MULTAS POR AUTO DE INFRACAO RECURSOS PROPRIOS;18109.83;18109.83;519000;10;;;;;
012012;01.2012;2012-01-01;1919500200;1;2046;MULTAS POR AUTO DE INFRACAO FMS;0;0;61000;10;;;;;
012012;01.2012;2012-01-01;1919500300;1;2070;MULTAS POR AUTO DE INFRACAO VIGILANCIA SANITARIA;178.86;178.86;12000;10;;;;;
012012;01.2012;2012-01-01;1919500400;2;1950;MULTAS POR AUTO DE INFRACAO PROCON;0;0;0;10;;;;;
012012;01.2012;2012-01-01;1920000000;;;INDENIZACOES E RESTITUICOES;153605.45;153605.45;1258000;10;;;;;
012012;01.2012;2012-01-01;1921000000;;;INDENIZACOES;153605.45;153605.45;1258000;10;;;;;
012012;01.2012;2012-01-01;1921990000;;;OUTRAS INDENIZACOES;153605.45;153605.45;1258000;10;;;;;
012012;01.2012;2012-01-01;1921990100;1;1171;COMPENSA CAO FINANCEIRA POR UTILIZACAO RECURSOS HIDRICOS CFH;27011.31;27011.31;201000;10;;;;;
012012;01.2012;2012-01-01;1921990200;6;1201;COMPENSACAO FINANCEIRA POR EXTRACAO OLEO BRUTO XISTO BETUMINOSO;126594.14;126594.14;1057000;10;;;;;
012012;01.2012;2012-01-01;1930000000;;;RECEITA DA DIVIDA ATIVA;1638854.52;1638854.52;31368000;10;;;;;
012012;01.2012;2012-01-01;1931000000;;;RECEITA DA DIVIDA ATIVA TRIBUTARIA;1336636.83;1336636.83;31063000;10;;;;;
012012;01.2012;2012-01-01;1931110000;1;2410;DIVIDA ATIVA TRIBUTARIA IPTU;756501.19;756501.19;18836000;10;;;;;
012012;01.2012;2012-01-01;1931130000;1;2445;DIVIDA ATIVA TRIBUTARIA ISS;349922.29;349922.29;4222000;10;;;;;
012012;01.2012;2012-01-01;1931990000;;;RECEITA DA DIVIDA ATIVA DE OUTROS TRIBUTOS;230213.35;230213.35;8005000;10;;;;;
